src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.7,149.171.126.0,63125,41287,TCP,0.901913,0.015,5733.333333,1798400,0,0,86,26976,313.674419,467.839817,0,Benign,attack,train,4,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.3,41095,80,TCP,0.857914,1.006,31.809145,11781.312127,69.125,253.063079,32,11852,370.375,457.924048,0,Benign,attack,train,4,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.7,25925,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,attack,train,4,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.1,18918,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,attack,train,4,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.3,29443,62084,UDP,0.361905,0.001,8000,840000,0,0,8,840,105,55.425626,0,Benign,attack,train,4,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.6,12065,64310,TCP,0.034602,0.223,89.686099,41470.852018,35.6,63.005079,20,9248,462.4,552.200371,0,Benign,attack,train,4,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.8,44240,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,attack,train,4,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.9,20790,63075,TCP,0.942728,0.179,882.681564,443832.402235,2,3,158,79446,502.822785,571.535893,0,Benign,attack,train,4,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.5,55772,13142,TCP,0.954152,0.033,606.060606,280242.424242,3.2,8.669487,20,9248,462.4,552.200371,0,Benign,attack,train,4,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.8,55630,6881,TCP,0.976031,3.902,145.566376,122747.309072,15.862676,126.411226,568,478960,843.239437,581.891792,0,Benign,attack,train,4,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.4,7771,7585,TCP,0.930951,0.051,2549.019608,1080784.313725,0,1,130,55120,424,537.223247,0,Benign,attack,train,4,10,0,,,NF-UNSW-NB15-v3-Benign
