src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.4,149.171.126.0,41465,21,TCP,0.642466,0.002,6000,365000,0,0,12,730,60.833333,0,0,Benign,normal,train,1,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.3,23369,21,TCP,0.583278,1.112,43.165468,2699.640288,40.875,82.994886,48,3002,62.541667,0,0,Benign,normal,train,1,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,64172,21,TCP,0.575752,0.837,105.137395,6710.872162,16.488636,48.789551,88,5617,63.829545,0,0,Benign,normal,train,1,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.3,40016,11091,TCP,0.382704,0.664,87.349398,12120.481928,23.034483,33.01513,58,8048,138.758621,223.973998,0,Benign,normal,train,1,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.9,51443,30268,TCP,0.94044,0.061,2786.885246,1338229.508197,0,1,170,81632,480.188235,556.384069,0,Benign,normal,train,1,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.3,10746,25,TCP,0.083292,0.025,3760,1623200,0,0.743768,94,40580,431.702128,522.155787,0,Benign,normal,train,1,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.0,7990,6881,TCP,0.516332,0.018,1888.888889,176888.888889,0.529412,1.631226,34,3184,93.647059,103.100717,0,Benign,normal,train,1,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.2,12750,38053,UDP,0.372549,0.001,8000,816000,0,0,8,816,102,55.425626,0,Benign,normal,train,1,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.9,5317,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,normal,train,1,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.3,13499,6881,TCP,0.516332,0.02,1700,159200,1,2,34,3184,93.647059,103.100717,0,Benign,normal,train,1,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.3,24927,15026,TCP,0.034602,0.382,52.356021,24209.424084,61.9,94.004734,20,9248,462.4,552.200371,0,Benign,normal,train,1,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.7,41491,143,TCP,0.663106,2.396,103.505843,9690.317195,18.508065,31.515996,248,23218,93.620968,135.113203,0,Benign,normal,train,1,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.1,5436,143,TCP,0.674963,1.146,216.404887,20966.841187,8.508065,16.007809,248,24028,96.887097,145.679913,0,Benign,normal,train,1,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.9,44182,143,TCP,0.671987,0.035,7085.714286,680285.714286,0,0,248,23810,96.008065,135.113203,0,Benign,normal,train,1,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.6,4644,21,TCP,0.608943,0.006,3333.333333,205000,0,0,20,1230,61.5,0,0,Benign,normal,train,1,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.6,43443,43350,TCP,0.872265,0.009,7777.777778,1939777.777778,0,0,70,17458,249.4,421.662163,0,Benign,normal,train,1,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.6,53946,6881,TCP,0.970589,0.448,526.785714,400727.678571,3.932203,33.812225,236,179526,760.70339,583.328389,0,Benign,normal,train,1,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.1,22391,21,TCP,0.955446,0.001,4000,202000,0,0,4,202,50.5,0,0,Benign,normal,train,1,17,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.4,32235,50550,TCP,0.888472,0.014,5571.428571,1561428.571429,0,0,78,21860,280.25641,441.260014,0,Benign,normal,train,1,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.1,37344,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,normal,train,1,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.7,27779,21,TCP,0.609261,0.02,1000,61550,0.45,1.611676,20,1231,61.55,0,0,Benign,normal,train,1,20,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.5,39045,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,normal,train,1,21,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.6,62666,36208,TCP,0.891904,0.019,4105.263158,1187052.631579,0,0,78,22554,289.153846,462.430477,0,Benign,normal,train,1,22,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.4,29225,57590,TCP,0.4,0.381,146.981627,19527.559055,13,23,56,7440,132.857143,143.472958,0,Benign,normal,train,1,23,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.7,22158,80,TCP,0.857914,1.16,27.586207,10217.241379,79.8125,251.531861,32,11852,370.375,457.924048,0,Benign,normal,train,1,24,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.0,47847,32582,TCP,0.935819,0.132,1106.060606,500242.424242,1,2,146,66032,452.273973,544.992445,0,Benign,normal,train,1,25,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.5,12158,21,TCP,0.584322,0.024,3958.333333,249291.666667,0,0,95,5983,62.978947,0,0,Benign,normal,train,1,26,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.3,63647,80,TCP,0.857914,1.293,24.748647,9166.279969,88.5,259.575615,32,11852,370.375,457.924048,0,Benign,normal,train,1,27,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.7,22321,80,TCP,0.857914,1.086,29.46593,10913.443831,74.25,251.511804,32,11852,370.375,457.924048,0,Benign,normal,train,1,28,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.9,59198,25,TCP,0.080901,0.029,3172.413793,1396344.827586,0,0.751809,92,40494,440.152174,525.679594,0,Benign,normal,train,1,29,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.4,39559,45979,TCP,0.909396,0.058,1551.724138,523310.344828,1,1,90,30352,337.244444,485.337324,0,Benign,normal,train,1,30,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.8,62743,6881,TCP,0.977431,6.442,188.916486,161372.555107,12.265407,206.94224,1217,1039562,854.200493,581.648641,0,Benign,normal,train,1,31,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.0,15560,34073,TCP,0.045338,0.003,7333.333333,3117333.333333,0,0,22,9352,425.090909,536.660935,0,Benign,normal,train,1,32,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.9,5548,80,TCP,0.857914,1.12,28.571429,10582.142857,76.25,258.087195,32,11852,370.375,457.924048,0,Benign,normal,train,1,33,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.8,30328,111,UDP,0.354545,0.123,65.04065,7154.471545,35.5,50.0025,8,880,110,64,0,Benign,normal,train,1,34,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.7,26048,25436,TCP,0.911197,0.102,960.784314,328333.333333,1,3,98,33490,341.734694,483.157113,0,Benign,normal,train,1,35,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.6,49199,21,TCP,0.577468,0.552,137.681159,8827.898551,12,37.651274,76,4873,64.118421,0,0,Benign,normal,train,1,36,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.7,6855,111,UDP,0.354545,0.23,34.782609,3826.086957,61,86.518784,8,880,110,64,0,Benign,normal,train,1,37,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.8,7926,5852,TCP,0.934476,0.093,1462.365591,661333.333333,1,2,136,61504,452.235294,556.719855,0,Benign,normal,train,1,38,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.2,41607,80,TCP,0.865509,1.346,22.288262,8728.08321,104.8,309.825693,30,11748,391.6,466.754754,0,Benign,normal,train,1,39,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.3,28264,21,TCP,0.575752,1.553,56.66452,3616.870573,37.488636,74.579655,88,5617,63.829545,0,0,Benign,normal,train,1,40,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.5,25647,80,TCP,0.865509,1.051,28.544244,11177.925785,81.4,266.940892,30,11748,391.6,466.754754,0,Benign,normal,train,1,41,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.8,63726,80,TCP,0.857914,1.037,30.858245,11429.122469,70.6875,252.083622,32,11852,370.375,457.924048,0,Benign,normal,train,1,42,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.2,34617,22,TCP,0.594871,0.006,9333.333333,1533666.666667,0,0,56,9202,164.321429,223.708265,0,Benign,normal,train,1,43,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.4,43292,3490,TCP,0.914745,0.027,3481.481481,1239851.851852,0,1,94,33476,356.12766,495.831965,0,Benign,normal,train,1,44,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.7,39987,25,TCP,0.081033,0.74,124.324324,54632.432432,16.26087,41.946361,92,40428,439.434783,525.679594,0,Benign,normal,train,1,45,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.8,64445,80,TCP,0.982194,14.56,76.648352,76072.93956,32.369176,41.602487,1116,1107622,992.492832,570.346447,0,Benign,normal,train,1,46,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.2,1307,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,normal,train,1,47,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,25812,21,TCP,0.57545,3.149,27.945379,1782.470626,64.977273,141.459758,88,5613,63.784091,0,0,Benign,normal,train,1,48,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.7,12215,5190,TCP,0.68587,0.004,6000,824500,0,0,24,3298,137.416667,194.575321,0,Benign,normal,train,1,49,0,,,NF-UNSW-NB15-v3-Benign
149.171.126.15,175.45.176.3,1043,53,UDP,0,0.001,1000,132000,0,0,1,132,132,0,0,Benign,normal,train,1,50,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.7,52813,5190,TCP,0.679904,0.004,6000,831000,0,0,24,3324,138.5,194.575321,0,Benign,normal,train,1,51,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.3,36773,63646,TCP,0.875306,0.025,920,261760,1.565217,4.27659,23,6544,284.521739,456.736802,0,Benign,normal,train,1,52,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.7,19149,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,normal,train,1,53,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.7,64066,16280,TCP,0.901838,0.012,6833.333333,2158000,0,0,82,25896,315.804878,477.53494,0,Benign,normal,train,1,54,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.1,29500,21,TCP,0.955446,0.001,4000,202000,0,0.866025,4,202,50.5,0,0,Benign,normal,train,1,55,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.3,57516,5190,TCP,0.835991,0.69,144.927536,33084.057971,13.52,47.053263,100,22828,228.28,370.211421,0,Benign,normal,train,1,56,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.7,31841,21,TCP,0.577468,0.022,3454.545455,221500,0,1,76,4873,64.118421,0,0,Benign,normal,train,1,57,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.0,5521,21590,TCP,0.954152,0.278,71.942446,33266.18705,33.4,61.579542,20,9248,462.4,552.200371,0,Benign,normal,train,1,58,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.1,1287,64151,TCP,0.877596,0.012,6166.666667,1589000,0,0,74,19068,257.675676,420.166387,0,Benign,normal,train,1,59,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.4,18929,21,TCP,0.642466,0.05,240,14600,14.666667,33.478434,12,730,60.833333,0,0,Benign,normal,train,1,60,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.1,28019,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,normal,train,1,61,0,,,NF-UNSW-NB15-v3-Benign
