family,method,method_label,split,level,level_label,threshold,accuracy,precision,recall,f1,auc_roc
family_a,classical_bag_level,Bag RBF,test,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,classical_window_rbf,Classical RBF,test,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,majority_class,Majority,test,dataset,Dataset,0.5,0.5,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,test,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,quantum_pipeline,Quantum ZZ,test,dataset,Dataset,0.52,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,classical_bag_level,Bag RBF,test,instance,IP instance,0.5,0.8277027027027027,0.8865248226950354,0.78125,0.8305647840531561,0.913373161764706
family_a,classical_window_rbf,Classical RBF,test,instance,IP instance,0.5,0.8392937980986872,0.6974789915966386,0.8494152046783626,0.7659854976928148,0.9207084651519508
family_a,majority_class,Majority,test,instance,IP instance,0.5,0.6903576278859213,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,test,instance,IP instance,0.5,0.9741964689904934,0.968609865470852,0.9473684210526315,0.9578713968957872,0.9941616335921771
family_a,quantum_pipeline,Quantum ZZ,test,instance,IP instance,0.52,0.7709370755998189,0.6027713625866051,0.7631578947368421,0.6735483870967742,0.8100436199789091
family_a,classical_bag_level,Bag RBF,test,window,Window,0.5,1.0,1.0,1.0,1.0,
family_a,classical_window_rbf,Classical RBF,test,window,Window,0.5,0.3333333333333333,0.3103448275862069,1.0,0.47368421052631576,1.0
family_a,majority_class,Majority,test,window,Window,0.5,0.7,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,test,window,Window,0.5,0.9,0.75,1.0,0.8571428571428571,1.0
family_a,quantum_pipeline,Quantum ZZ,test,window,Window,0.52,0.3,0.3,1.0,0.46153846153846156,1.0
family_a,classical_bag_level,Bag RBF,validation,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,classical_window_rbf,Classical RBF,validation,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,0.75
family_a,majority_class,Majority,validation,dataset,Dataset,0.5,0.5,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,validation,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,quantum_pipeline,Quantum ZZ,validation,dataset,Dataset,0.52,0.5,0.5,1.0,0.6666666666666666,1.0
family_a,classical_bag_level,Bag RBF,validation,instance,IP instance,0.5,0.8165467625899281,0.8780487804878049,0.75,0.8089887640449438,0.9171849087893864
family_a,classical_window_rbf,Classical RBF,validation,instance,IP instance,0.5,0.8593418259023354,0.6009852216748769,0.9432989690721649,0.7342026078234705,0.9485225205358618
family_a,majority_class,Majority,validation,instance,IP instance,0.5,0.7940552016985138,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,validation,instance,IP instance,0.5,0.982484076433121,0.9216152019002375,1.0,0.9592088998763906,0.9998966315673411
family_a,quantum_pipeline,Quantum ZZ,validation,instance,IP instance,0.52,0.7776008492569002,0.47487844408427876,0.7551546391752577,0.5830845771144278,0.8226335520149952
family_a,classical_bag_level,Bag RBF,validation,window,Window,0.5,1.0,1.0,1.0,1.0,
family_a,classical_window_rbf,Classical RBF,validation,window,Window,0.5,0.23333333333333334,0.20689655172413793,1.0,0.34285714285714286,1.0
family_a,majority_class,Majority,validation,window,Window,0.5,0.8,0.0,0.0,0.0,0.5
family_a,pca_linear_ablation,PCA Linear,validation,window,Window,0.5,0.8,0.5,1.0,0.6666666666666666,1.0
family_a,quantum_pipeline,Quantum ZZ,validation,window,Window,0.52,0.2,0.2,1.0,0.3333333333333333,0.9513888888888888
family_b,classical_bag_level,Bag RBF,test,dataset,Dataset,0.5,1.0,1.0,1.0,1.0,1.0
family_b,classical_window_rbf,Classical RBF,test,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_b,majority_class,Majority,test,dataset,Dataset,0.5,0.5,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,test,dataset,Dataset,0.5,0.75,0.6666666666666666,1.0,0.8,1.0
family_b,quantum_pipeline,Quantum ZZ,test,dataset,Dataset,0.72,0.5,0.5,1.0,0.6666666666666666,0.5
family_b,classical_bag_level,Bag RBF,test,instance,IP instance,0.5,0.9934640522875817,1.0,0.95,0.9743589743589743,0.9857142857142858
family_b,classical_window_rbf,Classical RBF,test,instance,IP instance,0.5,0.9367088607594937,0.4342105263157895,0.825,0.5689655172413793,0.9618583333333334
family_b,majority_class,Majority,test,instance,IP instance,0.5,0.9493670886075949,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,test,instance,IP instance,0.5,0.9962025316455696,0.9302325581395349,1.0,0.963855421686747,1.0
family_b,quantum_pipeline,Quantum ZZ,test,instance,IP instance,0.72,0.8835443037974684,0.20454545454545456,0.45,0.28125,0.8585666666666666
family_b,classical_bag_level,Bag RBF,test,window,Window,0.5,1.0,1.0,1.0,1.0,
family_b,classical_window_rbf,Classical RBF,test,window,Window,0.5,0.5,0.34782608695652173,1.0,0.5161290322580645,0.9829545454545454
family_b,majority_class,Majority,test,window,Window,0.5,0.7333333333333333,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,test,window,Window,0.5,0.9666666666666667,0.8888888888888888,1.0,0.9411764705882353,1.0
family_b,quantum_pipeline,Quantum ZZ,test,window,Window,0.72,0.4,0.3076923076923077,1.0,0.47058823529411764,0.6818181818181819
family_b,classical_bag_level,Bag RBF,validation,dataset,Dataset,0.5,1.0,1.0,1.0,1.0,1.0
family_b,classical_window_rbf,Classical RBF,validation,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_b,majority_class,Majority,validation,dataset,Dataset,0.5,0.5,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,validation,dataset,Dataset,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
family_b,quantum_pipeline,Quantum ZZ,validation,dataset,Dataset,0.72,0.5,0.5,1.0,0.6666666666666666,1.0
family_b,classical_bag_level,Bag RBF,validation,instance,IP instance,0.5,1.0,1.0,1.0,1.0,1.0
family_b,classical_window_rbf,Classical RBF,validation,instance,IP instance,0.5,0.9389312977099237,0.3230769230769231,0.84,0.4666666666666667,0.9793429697766098
family_b,majority_class,Majority,validation,instance,IP instance,0.5,0.9681933842239185,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,validation,instance,IP instance,0.5,0.9923664122137404,0.8064516129032258,1.0,0.8928571428571429,1.0
family_b,quantum_pipeline,Quantum ZZ,validation,instance,IP instance,0.72,0.9020356234096693,0.22043010752688172,0.82,0.3474576271186441,0.9229172141918528
family_b,classical_bag_level,Bag RBF,validation,window,Window,0.5,1.0,1.0,1.0,1.0,
family_b,classical_window_rbf,Classical RBF,validation,window,Window,0.5,0.4,0.21739130434782608,1.0,0.35714285714285715,0.984
family_b,majority_class,Majority,validation,window,Window,0.5,0.8333333333333334,0.0,0.0,0.0,0.5
family_b,pca_linear_ablation,PCA Linear,validation,window,Window,0.5,0.8666666666666667,0.5555555555555556,1.0,0.7142857142857143,1.0
